2025-06-01T18:19:07.374013
[INFO] Getting and transforming the data...
[INFO] Training set size = 60000, Test set size = 10000
[INFO] Using device: cuda
[INFO] Data directory: /home/admin/.cache/ml/datasets/neuronal-decay, Results directory: ./out/results, Logs directory: ./out/logs
[INFO] Hyperparameters: batch_size=512, rotations=(0, 80, 160), learning_rate=0.001, n_batches_per_task=500, test_size=2000, n_neurons=2048, decay_lambda=1e-05
[INFO] Domain variables: n_tasks=3, n_classes=10, img_n_channels=1, img_size=28
~~~~~~~~~~~~~~~~~~~ Running experiment 1~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.300141 | Test accuracy (task 1): 17.97% | Batch: 0
Training loss: 0.202530 | Test accuracy (task 1): 97.56% | Batch: 50
Training loss: 0.179637 | Test accuracy (task 1): 97.46% | Batch: 75
Training loss: 0.136070 | Test accuracy (task 1): 97.85% | Batch: 100
Training loss: 0.142241 | Test accuracy (task 1): 97.56% | Batch: 125
Training loss: 0.121147 | Test accuracy (task 1): 97.22% | Batch: 150
Training loss: 0.112642 | Test accuracy (task 1): 97.85% | Batch: 175
Training loss: 0.102564 | Test accuracy (task 1): 98.10% | Batch: 200
Training loss: 0.116276 | Test accuracy (task 1): 97.22% | Batch: 225
Training loss: 0.090762 | Test accuracy (task 1): 98.00% | Batch: 250
Training loss: 0.080113 | Test accuracy (task 1): 97.95% | Batch: 275
Training loss: 0.082875 | Test accuracy (task 1): 97.75% | Batch: 300
Training loss: 0.075075 | Test accuracy (task 1): 97.51% | Batch: 325
Training loss: 0.087903 | Test accuracy (task 1): 97.46% | Batch: 350
Training loss: 0.070884 | Test accuracy (task 1): 97.85% | Batch: 375
Training loss: 0.066453 | Test accuracy (task 1): 97.17% | Batch: 400
Training loss: 0.076821 | Test accuracy (task 1): 97.61% | Batch: 425
Training loss: 0.065466 | Test accuracy (task 1): 97.80% | Batch: 450
Training loss: 0.057554 | Test accuracy (task 1): 97.31% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.173640 | Test accuracy (task 1): 97.69% | Batch: 0
Training loss: 0.212607 | Test accuracy (task 1): 96.19% | Batch: 25
Training loss: 0.168464 | Test accuracy (task 1): 96.78% | Batch: 50
Training loss: 0.153174 | Test accuracy (task 1): 97.20% | Batch: 75
Training loss: 0.134062 | Test accuracy (task 1): 96.84% | Batch: 100
Training loss: 0.117995 | Test accuracy (task 1): 96.55% | Batch: 125
Training loss: 0.102764 | Test accuracy (task 1): 97.30% | Batch: 150
Training loss: 0.122325 | Test accuracy (task 1): 96.81% | Batch: 175
Training loss: 0.093685 | Test accuracy (task 1): 97.49% | Batch: 200
Training loss: 0.102351 | Test accuracy (task 1): 96.68% | Batch: 225
Training loss: 0.086699 | Test accuracy (task 1): 96.88% | Batch: 250
Training loss: 0.081176 | Test accuracy (task 1): 97.33% | Batch: 275
Training loss: 0.074082 | Test accuracy (task 1): 97.20% | Batch: 300
Training loss: 0.076795 | Test accuracy (task 1): 97.27% | Batch: 325
Training loss: 0.068134 | Test accuracy (task 1): 97.36% | Batch: 350
Training loss: 0.076458 | Test accuracy (task 1): 97.30% | Batch: 375
Training loss: 0.070705 | Test accuracy (task 1): 97.20% | Batch: 400
Training loss: 0.061554 | Test accuracy (task 1): 97.17% | Batch: 425
Training loss: 0.067137 | Test accuracy (task 1): 96.84% | Batch: 450
Training loss: 0.062776 | Test accuracy (task 1): 97.62% | Batch: 475
Experiment 14 done!
[INFO] Saving results to ./out/results/results_94467.json
ALL EXPERIMENTS DONE!
2025-06-01T23:31:20.188030
[INFO] Getting and transforming the data...
[INFO] Training set size = 60000, Test set size = 10000
[INFO] Using device: cuda
[INFO] Data directory: /home/admin/.cache/ml/datasets/neuronal-decay, Results directory: ./out/results, Logs directory: ./out/logs
[INFO] Hyperparameters: batch_size=512, rotations=(0, 80, 160), learning_rate=0.001, n_batches_per_task=500, test_size=2000, n_neurons=2048, decay_lambda=1e-05
[INFO] Domain variables: n_tasks=3, n_classes=10, img_n_channels=1, img_size=28
~~~~~~~~~~~~~~~~~~~ Running experiment 1~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.306548 | Test accuracy (task 1): 10.35% | Batch: 0
Training loss: 0.264806 | Test accuracy (task 1): 91.11% | Batch: 25
Training loss: 0.229047 | Test accuracy (task 1): 93.85% | Batch: 50
Training loss: 0.182774 | Test accuracy (task 1): 95.36% | Batch: 75
Training loss: 0.123218 | Test accuracy (task 1): 96.19% | Batch: 100
Training loss: 0.114875 | Test accuracy (task 1): 96.73% | Batch: 125
Training loss: 0.085317 | Test accuracy (task 1): 96.88% | Batch: 150
Training loss: 0.076937 | Test accuracy (task 1): 96.78% | Batch: 175
Training loss: 0.053509 | Test accuracy (task 1): 97.75% | Batch: 200
Training loss: 0.083846 | Test accuracy (task 1): 97.71% | Batch: 225
Training loss: 0.051951 | Test accuracy (task 1): 97.36% | Batch: 250
Training loss: 0.033301 | Test accuracy (task 1): 97.90% | Batch: 275
Training loss: 0.033104 | Test accuracy (task 1): 97.07% | Batch: 300
Training loss: 0.042503 | Test accuracy (task 1): 98.19% | Batch: 325
Training loss: 0.034939 | Test accuracy (task 1): 96.78% | Batch: 350
Training loss: 0.034510 | Test accuracy (task 1): 97.61% | Batch: 375
Training loss: 0.032260 | Test accuracy (task 1): 96.83% | Batch: 400
Training loss: 0.024332 | Test accuracy (task 1): 97.85% | Batch: 425
Training loss: 0.040952 | Test accuracy (task 1): 97.31% | Batch: 450
Training loss: 0.056356 | Test accuracy (task 1): 97.17% | Batch: 475
==================== Training on task 2 ====================
Training loss: 3.710274 | Test accuracy (task 1): 96.97% | Batch: 0
Training loss: 0.227497 | Test accuracy (task 1): 95.12% | Batch: 25
Training loss: 0.126857 | Test accuracy (task 1): 96.73% | Batch: 50
Training loss: 0.130526 | Test accuracy (task 1): 96.53% | Batch: 75
Training loss: 0.096269 | Test accuracy (task 1): 97.27% | Batch: 100
Training loss: 0.076192 | Test accuracy (task 1): 97.02% | Batch: 125
Training loss: 0.069424 | Test accuracy (task 1): 96.92% | Batch: 150
Training loss: 0.062230 | Test accuracy (task 1): 96.97% | Batch: 175
Training loss: 0.057411 | Test accuracy (task 1): 97.51% | Batch: 200
Training loss: 0.045461 | Test accuracy (task 1): 97.95% | Batch: 225
Training loss: 0.058481 | Test accuracy (task 1): 98.00% | Batch: 250
Training loss: 0.049310 | Test accuracy (task 1): 97.56% | Batch: 275
Training loss: 0.036213 | Test accuracy (task 1): 97.51% | Batch: 300
Training loss: 0.032723 | Test accuracy (task 1): 97.51% | Batch: 325
Training loss: 0.048217 | Test accuracy (task 1): 97.41% | Batch: 350
Training loss: 0.033650 | Test accuracy (task 1): 97.71% | Batch: 375
Training loss: 0.030703 | Test accuracy (task 1): 98.05% | Batch: 400
Training loss: 0.015711 | Test accuracy (task 1): 98.05% | Batch: 425
Training loss: 0.016891 | Test accuracy (task 1): 98.34% | Batch: 450
Training loss: 0.021457 | Test accuracy (task 1): 98.14% | Batch: 475
==================== Training on task 3 ====================
Training loss: 2.460356 | Test accuracy (task 1): 97.98% | Batch: 0
Training loss: 0.129750 | Test accuracy (task 1): 95.70% | Batch: 25
Training loss: 0.089103 | Test accuracy (task 1): 96.74% | Batch: 50
Training loss: 0.081123 | Test accuracy (task 1): 97.49% | Batch: 75
Training loss: 0.068885 | Test accuracy (task 1): 97.40% | Batch: 100
Training loss: 0.058306 | Test accuracy (task 1): 97.82% | Batch: 125
Training loss: 0.055046 | Test accuracy (task 1): 97.62% | Batch: 150
Training loss: 0.029470 | Test accuracy (task 1): 97.95% | Batch: 175
Training loss: 0.035343 | Test accuracy (task 1): 97.69% | Batch: 200
Training loss: 0.039851 | Test accuracy (task 1): 98.01% | Batch: 225
Training loss: 0.030686 | Test accuracy (task 1): 97.92% | Batch: 250
Training loss: 0.030310 | Test accuracy (task 1): 97.66% | Batch: 275
Training loss: 0.038535 | Test accuracy (task 1): 97.72% | Batch: 300
Training loss: 0.019456 | Test accuracy (task 1): 97.69% | Batch: 325
Training loss: 0.012590 | Test accuracy (task 1): 97.92% | Batch: 350
Training loss: 0.011059 | Test accuracy (task 1): 97.98% | Batch: 375
Training loss: 0.016824 | Test accuracy (task 1): 97.92% | Batch: 400
Training loss: 0.015545 | Test accuracy (task 1): 97.62% | Batch: 425
Training loss: 0.018823 | Test accuracy (task 1): 97.20% | Batch: 450
Training loss: 0.011911 | Test accuracy (task 1): 97.66% | Batch: 475
Experiment 1 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 2~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.305071 | Test accuracy (task 1): 10.55% | Batch: 0
Training loss: 0.296290 | Test accuracy (task 1): 91.06% | Batch: 25
Training loss: 0.203158 | Test accuracy (task 1): 93.36% | Batch: 50
Training loss: 0.194677 | Test accuracy (task 1): 95.85% | Batch: 75
Training loss: 0.129698 | Test accuracy (task 1): 96.09% | Batch: 100
Training loss: 0.094426 | Test accuracy (task 1): 95.95% | Batch: 125
Training loss: 0.093557 | Test accuracy (task 1): 95.95% | Batch: 150
Training loss: 0.068165 | Test accuracy (task 1): 96.78% | Batch: 175
Training loss: 0.069115 | Test accuracy (task 1): 97.31% | Batch: 200
Training loss: 0.077586 | Test accuracy (task 1): 97.71% | Batch: 225
Training loss: 0.060022 | Test accuracy (task 1): 97.02% | Batch: 250
Training loss: 0.036736 | Test accuracy (task 1): 97.75% | Batch: 275
Training loss: 0.064453 | Test accuracy (task 1): 97.90% | Batch: 300
Training loss: 0.041704 | Test accuracy (task 1): 97.51% | Batch: 325
Training loss: 0.023083 | Test accuracy (task 1): 97.80% | Batch: 350
Training loss: 0.025204 | Test accuracy (task 1): 98.29% | Batch: 375
Training loss: 0.032172 | Test accuracy (task 1): 97.51% | Batch: 400
Training loss: 0.041767 | Test accuracy (task 1): 97.80% | Batch: 425
Training loss: 0.026548 | Test accuracy (task 1): 97.17% | Batch: 450
Training loss: 0.073580 | Test accuracy (task 1): 97.27% | Batch: 475
==================== Training on task 2 ====================
Training loss: 7.317585 | Test accuracy (task 1): 97.66% | Batch: 0
Training loss: 0.196557 | Test accuracy (task 1): 31.20% | Batch: 25
Training loss: 0.164424 | Test accuracy (task 1): 33.01% | Batch: 50
Training loss: 0.087817 | Test accuracy (task 1): 33.20% | Batch: 75
Training loss: 0.105714 | Test accuracy (task 1): 34.47% | Batch: 100
Training loss: 0.075869 | Test accuracy (task 1): 33.64% | Batch: 125
Training loss: 0.060410 | Test accuracy (task 1): 32.13% | Batch: 150
Training loss: 0.056203 | Test accuracy (task 1): 30.22% | Batch: 175
Training loss: 0.031487 | Test accuracy (task 1): 32.37% | Batch: 200
Training loss: 0.046928 | Test accuracy (task 1): 26.22% | Batch: 225
Training loss: 0.027171 | Test accuracy (task 1): 29.30% | Batch: 250
Training loss: 0.022230 | Test accuracy (task 1): 29.49% | Batch: 275
Training loss: 0.024619 | Test accuracy (task 1): 27.98% | Batch: 300
Training loss: 0.021515 | Test accuracy (task 1): 28.86% | Batch: 325
Training loss: 0.023652 | Test accuracy (task 1): 26.81% | Batch: 350
Training loss: 0.020083 | Test accuracy (task 1): 29.83% | Batch: 375
Training loss: 0.009622 | Test accuracy (task 1): 28.17% | Batch: 400
Training loss: 0.010285 | Test accuracy (task 1): 30.62% | Batch: 425
Training loss: 0.015021 | Test accuracy (task 1): 29.88% | Batch: 450
Training loss: 0.007082 | Test accuracy (task 1): 29.54% | Batch: 475
==================== Training on task 3 ====================
Training loss: 7.943248 | Test accuracy (task 1): 27.86% | Batch: 0
Training loss: 0.229722 | Test accuracy (task 1): 31.18% | Batch: 25
Training loss: 0.115478 | Test accuracy (task 1): 31.48% | Batch: 50
Training loss: 0.092448 | Test accuracy (task 1): 30.70% | Batch: 75
Training loss: 0.091220 | Test accuracy (task 1): 32.39% | Batch: 100
Training loss: 0.060491 | Test accuracy (task 1): 33.33% | Batch: 125
Training loss: 0.053099 | Test accuracy (task 1): 29.65% | Batch: 150
Training loss: 0.037072 | Test accuracy (task 1): 32.98% | Batch: 175
Training loss: 0.030984 | Test accuracy (task 1): 33.50% | Batch: 200
Training loss: 0.026615 | Test accuracy (task 1): 34.77% | Batch: 225
Training loss: 0.018222 | Test accuracy (task 1): 36.78% | Batch: 250
Training loss: 0.021360 | Test accuracy (task 1): 32.32% | Batch: 275
Training loss: 0.027844 | Test accuracy (task 1): 32.78% | Batch: 300
Training loss: 0.019714 | Test accuracy (task 1): 34.64% | Batch: 325
Training loss: 0.023744 | Test accuracy (task 1): 34.28% | Batch: 350
Training loss: 0.011631 | Test accuracy (task 1): 37.17% | Batch: 375
Training loss: 0.011462 | Test accuracy (task 1): 34.90% | Batch: 400
Training loss: 0.009332 | Test accuracy (task 1): 34.83% | Batch: 425
Training loss: 0.020467 | Test accuracy (task 1): 33.92% | Batch: 450
Training loss: 0.009067 | Test accuracy (task 1): 34.83% | Batch: 475
Experiment 2 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 3~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.545199 | Test accuracy (task 1): 12.26% | Batch: 0
Training loss: 0.538455 | Test accuracy (task 1): 93.95% | Batch: 25
Training loss: 0.304652 | Test accuracy (task 1): 95.61% | Batch: 50
Training loss: 0.252597 | Test accuracy (task 1): 96.44% | Batch: 75
Training loss: 0.201269 | Test accuracy (task 1): 97.36% | Batch: 100
Training loss: 0.153260 | Test accuracy (task 1): 97.71% | Batch: 125
Training loss: 0.147989 | Test accuracy (task 1): 97.46% | Batch: 150
Training loss: 0.143661 | Test accuracy (task 1): 98.00% | Batch: 175
Training loss: 0.134188 | Test accuracy (task 1): 98.05% | Batch: 200
Training loss: 0.112174 | Test accuracy (task 1): 97.90% | Batch: 225
Training loss: 0.091993 | Test accuracy (task 1): 97.85% | Batch: 250
Training loss: 0.101424 | Test accuracy (task 1): 98.14% | Batch: 275
Training loss: 0.084413 | Test accuracy (task 1): 97.90% | Batch: 300
Training loss: 0.091630 | Test accuracy (task 1): 98.00% | Batch: 325
Training loss: 0.078916 | Test accuracy (task 1): 98.10% | Batch: 350
Training loss: 0.069405 | Test accuracy (task 1): 98.34% | Batch: 375
Training loss: 0.065917 | Test accuracy (task 1): 97.95% | Batch: 400
Training loss: 0.073587 | Test accuracy (task 1): 98.24% | Batch: 425
Training loss: 0.062595 | Test accuracy (task 1): 97.71% | Batch: 450
Training loss: 0.057547 | Test accuracy (task 1): 97.85% | Batch: 475
==================== Training on task 2 ====================
Training loss: 4.069003 | Test accuracy (task 1): 98.44% | Batch: 0
Training loss: 0.297586 | Test accuracy (task 1): 54.74% | Batch: 25
Training loss: 0.191634 | Test accuracy (task 1): 48.29% | Batch: 50
Training loss: 0.191459 | Test accuracy (task 1): 47.85% | Batch: 75
Training loss: 0.141478 | Test accuracy (task 1): 41.80% | Batch: 100
Training loss: 0.122481 | Test accuracy (task 1): 45.21% | Batch: 125
Training loss: 0.104239 | Test accuracy (task 1): 42.92% | Batch: 150
Training loss: 0.104244 | Test accuracy (task 1): 39.31% | Batch: 175
Training loss: 0.080169 | Test accuracy (task 1): 44.63% | Batch: 200
Training loss: 0.095373 | Test accuracy (task 1): 36.82% | Batch: 225
Training loss: 0.072044 | Test accuracy (task 1): 37.45% | Batch: 250
Training loss: 0.078403 | Test accuracy (task 1): 37.79% | Batch: 275
Training loss: 0.063032 | Test accuracy (task 1): 38.82% | Batch: 300
Training loss: 0.060195 | Test accuracy (task 1): 40.33% | Batch: 325
Training loss: 0.059118 | Test accuracy (task 1): 37.70% | Batch: 350
Training loss: 0.057686 | Test accuracy (task 1): 38.57% | Batch: 375
Training loss: 0.051595 | Test accuracy (task 1): 39.31% | Batch: 400
Training loss: 0.045341 | Test accuracy (task 1): 35.89% | Batch: 425
Training loss: 0.052196 | Test accuracy (task 1): 34.08% | Batch: 450
Training loss: 0.044571 | Test accuracy (task 1): 37.50% | Batch: 475
==================== Training on task 3 ====================
Training loss: 3.722383 | Test accuracy (task 1): 41.57% | Batch: 0
Training loss: 0.306713 | Test accuracy (task 1): 34.28% | Batch: 25
Training loss: 0.221009 | Test accuracy (task 1): 33.76% | Batch: 50
Training loss: 0.150768 | Test accuracy (task 1): 32.62% | Batch: 75
Training loss: 0.122557 | Test accuracy (task 1): 37.21% | Batch: 100
Training loss: 0.121297 | Test accuracy (task 1): 34.28% | Batch: 125
Training loss: 0.105092 | Test accuracy (task 1): 35.84% | Batch: 150
Training loss: 0.092869 | Test accuracy (task 1): 35.51% | Batch: 175
Training loss: 0.080695 | Test accuracy (task 1): 36.72% | Batch: 200
Training loss: 0.083822 | Test accuracy (task 1): 36.62% | Batch: 225
Training loss: 0.070954 | Test accuracy (task 1): 39.29% | Batch: 250
Training loss: 0.065501 | Test accuracy (task 1): 38.22% | Batch: 275
Training loss: 0.060483 | Test accuracy (task 1): 35.68% | Batch: 300
Training loss: 0.065641 | Test accuracy (task 1): 38.15% | Batch: 325
Training loss: 0.057663 | Test accuracy (task 1): 36.52% | Batch: 350
Training loss: 0.056075 | Test accuracy (task 1): 38.80% | Batch: 375
Training loss: 0.050790 | Test accuracy (task 1): 37.27% | Batch: 400
Training loss: 0.049765 | Test accuracy (task 1): 36.91% | Batch: 425
Training loss: 0.049124 | Test accuracy (task 1): 37.27% | Batch: 450
Training loss: 0.044721 | Test accuracy (task 1): 35.51% | Batch: 475
Experiment 3 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 4~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.537286 | Test accuracy (task 1): 06.40% | Batch: 0
Training loss: 0.508438 | Test accuracy (task 1): 93.80% | Batch: 25
Training loss: 0.289230 | Test accuracy (task 1): 96.04% | Batch: 50
Training loss: 0.315198 | Test accuracy (task 1): 96.63% | Batch: 75
Training loss: 0.209938 | Test accuracy (task 1): 97.41% | Batch: 100
Training loss: 0.203763 | Test accuracy (task 1): 97.75% | Batch: 125
Training loss: 0.164343 | Test accuracy (task 1): 97.36% | Batch: 150
Training loss: 0.155566 | Test accuracy (task 1): 97.56% | Batch: 175
Training loss: 0.112497 | Test accuracy (task 1): 98.05% | Batch: 200
Training loss: 0.130797 | Test accuracy (task 1): 98.24% | Batch: 225
Training loss: 0.090864 | Test accuracy (task 1): 97.80% | Batch: 250
Training loss: 0.094185 | Test accuracy (task 1): 98.00% | Batch: 275
Training loss: 0.094273 | Test accuracy (task 1): 97.90% | Batch: 300
Training loss: 0.080324 | Test accuracy (task 1): 98.24% | Batch: 325
Training loss: 0.069989 | Test accuracy (task 1): 97.71% | Batch: 350
Training loss: 0.074665 | Test accuracy (task 1): 97.85% | Batch: 375
Training loss: 0.067625 | Test accuracy (task 1): 98.00% | Batch: 400
Training loss: 0.067391 | Test accuracy (task 1): 98.29% | Batch: 425
Training loss: 0.070613 | Test accuracy (task 1): 98.19% | Batch: 450
Training loss: 0.058817 | Test accuracy (task 1): 98.24% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.379526 | Test accuracy (task 1): 97.71% | Batch: 0
Training loss: 0.260118 | Test accuracy (task 1): 96.63% | Batch: 25
Training loss: 0.175864 | Test accuracy (task 1): 97.31% | Batch: 50
Training loss: 0.184128 | Test accuracy (task 1): 97.66% | Batch: 75
Training loss: 0.141812 | Test accuracy (task 1): 96.73% | Batch: 100
Training loss: 0.132072 | Test accuracy (task 1): 97.66% | Batch: 125
Training loss: 0.135108 | Test accuracy (task 1): 97.85% | Batch: 150
Training loss: 0.107944 | Test accuracy (task 1): 97.17% | Batch: 175
Training loss: 0.106022 | Test accuracy (task 1): 97.31% | Batch: 200
Training loss: 0.096672 | Test accuracy (task 1): 97.75% | Batch: 225
Training loss: 0.089534 | Test accuracy (task 1): 97.31% | Batch: 250
Training loss: 0.094930 | Test accuracy (task 1): 96.88% | Batch: 275
Training loss: 0.080790 | Test accuracy (task 1): 97.36% | Batch: 300
Training loss: 0.079025 | Test accuracy (task 1): 97.31% | Batch: 325
Training loss: 0.078201 | Test accuracy (task 1): 97.56% | Batch: 350
Training loss: 0.068531 | Test accuracy (task 1): 97.66% | Batch: 375
Training loss: 0.067939 | Test accuracy (task 1): 97.90% | Batch: 400
Training loss: 0.069750 | Test accuracy (task 1): 98.14% | Batch: 425
Training loss: 0.066680 | Test accuracy (task 1): 97.56% | Batch: 450
Training loss: 0.069550 | Test accuracy (task 1): 97.22% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.087732 | Test accuracy (task 1): 97.30% | Batch: 0
Training loss: 0.207723 | Test accuracy (task 1): 96.81% | Batch: 25
Training loss: 0.187436 | Test accuracy (task 1): 96.88% | Batch: 50
Training loss: 0.149774 | Test accuracy (task 1): 97.10% | Batch: 75
Training loss: 0.140474 | Test accuracy (task 1): 96.81% | Batch: 100
Training loss: 0.136057 | Test accuracy (task 1): 97.23% | Batch: 125
Training loss: 0.123103 | Test accuracy (task 1): 97.33% | Batch: 150
Training loss: 0.116127 | Test accuracy (task 1): 97.07% | Batch: 175
Training loss: 0.116350 | Test accuracy (task 1): 96.94% | Batch: 200
Training loss: 0.110164 | Test accuracy (task 1): 97.33% | Batch: 225
Training loss: 0.098847 | Test accuracy (task 1): 96.81% | Batch: 250
Training loss: 0.088174 | Test accuracy (task 1): 96.71% | Batch: 275
Training loss: 0.096382 | Test accuracy (task 1): 96.61% | Batch: 300
Training loss: 0.081310 | Test accuracy (task 1): 97.43% | Batch: 325
Training loss: 0.079238 | Test accuracy (task 1): 97.10% | Batch: 350
Training loss: 0.074347 | Test accuracy (task 1): 96.68% | Batch: 375
Training loss: 0.072055 | Test accuracy (task 1): 96.78% | Batch: 400
Training loss: 0.064004 | Test accuracy (task 1): 97.33% | Batch: 425
Training loss: 0.070473 | Test accuracy (task 1): 97.27% | Batch: 450
Training loss: 0.069158 | Test accuracy (task 1): 97.04% | Batch: 475
Experiment 4 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 5~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 2.304958 | Test accuracy (task 1): 08.15% | Batch: 0
Training loss: 0.293976 | Test accuracy (task 1): 92.09% | Batch: 25
Training loss: 0.274169 | Test accuracy (task 1): 93.70% | Batch: 50
Training loss: 0.130558 | Test accuracy (task 1): 95.65% | Batch: 75
Training loss: 0.163348 | Test accuracy (task 1): 96.68% | Batch: 100
Training loss: 0.118671 | Test accuracy (task 1): 95.90% | Batch: 125
Training loss: 0.095954 | Test accuracy (task 1): 97.31% | Batch: 150
Training loss: 0.094077 | Test accuracy (task 1): 97.36% | Batch: 175
Training loss: 0.071124 | Test accuracy (task 1): 97.85% | Batch: 200
Training loss: 0.101042 | Test accuracy (task 1): 97.66% | Batch: 225
Training loss: 0.076737 | Test accuracy (task 1): 97.95% | Batch: 250
Training loss: 0.053031 | Test accuracy (task 1): 97.85% | Batch: 275
Training loss: 0.055012 | Test accuracy (task 1): 97.56% | Batch: 300
Training loss: 0.043695 | Test accuracy (task 1): 98.29% | Batch: 325
Training loss: 0.049468 | Test accuracy (task 1): 98.39% | Batch: 350
Training loss: 0.024048 | Test accuracy (task 1): 98.19% | Batch: 375
Training loss: 0.045684 | Test accuracy (task 1): 98.10% | Batch: 400
Training loss: 0.035114 | Test accuracy (task 1): 97.51% | Batch: 425
Training loss: 0.031960 | Test accuracy (task 1): 97.85% | Batch: 450
Training loss: 0.037548 | Test accuracy (task 1): 98.00% | Batch: 475
==================== Training on task 2 ====================
Training loss: 2.924436 | Test accuracy (task 1): 97.66% | Batch: 0
Training loss: 0.182965 | Test accuracy (task 1): 96.44% | Batch: 25
Training loss: 0.139929 | Test accuracy (task 1): 97.02% | Batch: 50
Training loss: 0.090064 | Test accuracy (task 1): 97.61% | Batch: 75
Training loss: 0.104526 | Test accuracy (task 1): 97.90% | Batch: 100
Training loss: 0.069658 | Test accuracy (task 1): 97.31% | Batch: 125
Training loss: 0.068358 | Test accuracy (task 1): 97.80% | Batch: 150
Training loss: 0.069340 | Test accuracy (task 1): 97.71% | Batch: 175
Training loss: 0.058156 | Test accuracy (task 1): 98.54% | Batch: 200
Training loss: 0.044924 | Test accuracy (task 1): 97.85% | Batch: 225
Training loss: 0.041327 | Test accuracy (task 1): 97.75% | Batch: 250
Training loss: 0.041818 | Test accuracy (task 1): 98.34% | Batch: 275
Training loss: 0.036478 | Test accuracy (task 1): 97.71% | Batch: 300
Training loss: 0.030224 | Test accuracy (task 1): 97.66% | Batch: 325
Training loss: 0.029497 | Test accuracy (task 1): 98.24% | Batch: 350
Training loss: 0.033522 | Test accuracy (task 1): 97.51% | Batch: 375
Training loss: 0.030900 | Test accuracy (task 1): 98.24% | Batch: 400
Training loss: 0.023156 | Test accuracy (task 1): 98.54% | Batch: 425
Training loss: 0.022996 | Test accuracy (task 1): 98.05% | Batch: 450
Training loss: 0.023818 | Test accuracy (task 1): 98.54% | Batch: 475
==================== Training on task 3 ====================
Training loss: 1.633842 | Test accuracy (task 1): 98.18% | Batch: 0
Training loss: 0.133188 | Test accuracy (task 1): 96.88% | Batch: 25
Training loss: 0.082242 | Test accuracy (task 1): 97.66% | Batch: 50
Training loss: 0.082387 | Test accuracy (task 1): 97.14% | Batch: 75
Training loss: 0.076254 | Test accuracy (task 1): 97.88% | Batch: 100
Training loss: 0.059358 | Test accuracy (task 1): 97.92% | Batch: 125
Training loss: 0.040875 | Test accuracy (task 1): 98.24% | Batch: 150
Training loss: 0.049545 | Test accuracy (task 1): 97.56% | Batch: 175
Training loss: 0.035837 | Test accuracy (task 1): 97.66% | Batch: 200
Training loss: 0.043309 | Test accuracy (task 1): 97.92% | Batch: 225
Training loss: 0.032895 | Test accuracy (task 1): 97.92% | Batch: 250
Training loss: 0.026774 | Test accuracy (task 1): 97.95% | Batch: 275
Training loss: 0.030641 | Test accuracy (task 1): 98.24% | Batch: 300
Training loss: 0.028877 | Test accuracy (task 1): 97.79% | Batch: 325
Training loss: 0.028622 | Test accuracy (task 1): 98.34% | Batch: 350
Training loss: 0.021991 | Test accuracy (task 1): 97.98% | Batch: 375
Training loss: 0.021766 | Test accuracy (task 1): 98.14% | Batch: 400
Training loss: 0.022145 | Test accuracy (task 1): 98.31% | Batch: 425
Training loss: 0.019647 | Test accuracy (task 1): 98.27% | Batch: 450
Training loss: 0.016883 | Test accuracy (task 1): 98.27% | Batch: 475
Experiment 5 done!
~~~~~~~~~~~~~~~~~~~ Running experiment 6~~~~~~~~~~~~~~~~~~~~
==================== Training on task 1 ====================
Training loss: 3.449100 | Test accuracy (task 1): 10.60% | Batch: 0
Training loss: 1.409539 | Test accuracy (task 1): 77.10% | Batch: 25
Training loss: 0.663015 | Test accuracy (task 1): 93.70% | Batch: 50
Training loss: 0.484281 | Test accuracy (task 1): 95.85% | Batch: 75
Training loss: 0.351539 | Test accuracy (task 1): 95.90% | Batch: 100
Training loss: 0.320834 | Test accuracy (task 1): 97.36% | Batch: 125
Training loss: 0.259691 | Test accuracy (task 1): 96.48% | Batch: 150
Training loss: 0.260040 | Test accuracy (task 1): 96.78% | Batch: 175
Training loss: 0.211035 | Test accuracy (task 1): 96.83% | Batch: 200
Training loss: 0.183797 | Test accuracy (task 1): 98.00% | Batch: 225
Training loss: 0.182593 | Test accuracy (task 1): 97.46% | Batch: 250
Training loss: 0.184444 | Test accuracy (task 1): 97.02% | Batch: 275
Training loss: 0.150597 | Test accuracy (task 1): 97.51% | Batch: 300
Training loss: 0.163238 | Test accuracy (task 1): 97.51% | Batch: 325
Training loss: 0.113516 | Test accuracy (task 1): 97.51% | Batch: 350
Training loss: 0.133093 | Test accuracy (task 1): 96.97% | Batch: 375
